"TIME","Vout"
0.0003443668331,0.0746801
0.0003445109102,0.0749642
0.0003446417279,0.0751989
0.0003448832613,0.0755742
0.0003453663281,0.0761028
0.0003463324616,0.0763027
0.0003479991283,0.0741336
0.000349665795,0.0690326
0.0003513324616,0.0612812
0.0003529991283,0.0511606
0.0003538024763,0.0454967
0.0003543025058,0.041731
0.0003545748345,0.0396062
0.0003548235026,0.0376222
0.0003549838053,0.0363219
0.0003552153559,0.0344154
0.0003553523151,0.0332716
0.0003554995983,0.0320285
0.000355590918,0.0312515
0.0003557735572,0.0296836
0.0003561388357,0.0264952
0.0003565420578,0.0229011
0.000357174085,0.0171342
0.0003574100823,0.0149435
0.0003575651413,0.0134943
0.0003576664807,0.0125433
0.0003577732989,0.0115379
0.0003578869861,0.0104647
0.0003581143604,0.00830961
0.0003585079346,0.00455492
0.0003588999979,0.000789937
0.0003592930699,-0.0029942
0.0003596359232,-0.00629331
0.0003598917675,-0.00875119
0.0003601205016,-0.0109434
0.0003603557988,-0.013191
0.0003607285876,-0.0167298
0.0003611347532,-0.0205454
0.0003619470844,-0.0280011
0.0003624382672,-0.0323723
0.0003627695977,-0.0352529
0.0003631146073,-0.038186
0.0003634671084,-0.0411054
0.0003638991524,-0.0445661
0.0003644560415,-0.0488167
0.0003655698198,-0.056503
0.0003661529297,-0.0600588
0.0003667601319,-0.0633866
0.0003676988901,-0.0677108
0.0003687251075,-0.0712176
0.0003688917337,-0.0716473
0.0003690490377,-0.0720314
0.0003692057717,-0.0723862
0.0003693936835,-0.0727702
0.0003695081151,-0.0729817
0.0003696500984,-0.0732203
0.0003698701726,-0.0735388
0.0003703103211,-0.0739908
0.0003711906181,-0.0741773
0.0003728572848,-0.0720756
0.0003745239515,-0.0670094
0.0003761906181,-0.0592617
0.0003778572848,-0.0491157
0.0003795239515,-0.036844
0.0003797175274,-0.0352821
0.0003798439149,-0.0342492
0.0003799851386,-0.0330836
0.0003801078429,-0.0320608
0.0003802123417,-0.0311817
0.000380317704,-0.0302888
0.0003804343564,-0.0292926
0.0003806676614,-0.0272773
0.0003810700784,-0.0237339
0.0003814953706,-0.0199053
0.0003817521165,-0.017556
0.000381940497,-0.0158156
0.0003820787851,-0.0145298
0.0003822110753,-0.0132936
0.0003823029524,-0.0124319
0.0003824412601,-0.0111299
0.0003825718875,-0.00989536
0.0003828331422,-0.00741389
0.0003833556518,-0.0024118
0.0003837753641,0.00163845
0.0003842155296,0.00590362
0.0003846389376,0.0100031
0.0003848679678,0.0122158
0.0003851164288,0.0146097
0.0003854517922,0.0178248
0.0003858058473,0.0211923
0.0003864228575,0.0269698
0.0003869680976,0.0319544
0.00038742961,0.0360665
0.0003876883628,0.038324
0.0003879651199,0.040696
0.0003883333607,0.0437769
0.0003887157155,0.0468772
0.0003892756459,0.0512177
0.0003903955069,0.0590821
0.0003909931889,0.0627967
0.0003916250796,0.0663223
0.0003924797891,0.0703772
0.0003935621597,0.0742455
0.0003937142103,0.0746592
0.0003938689514,0.0750599
0.0003940624869,0.0755225
0.0003942703179,0.0759653
0.0003944026003,0.0762179
0.0003945637336,0.0764949
0.000394869117,0.0769284
0.0003954798838,0.0774434
0.0003967014175,0.0771277
0.0003983680841,0.0740026
0.0004000347508,0.0680301
0.0004017014175,0.0594926
0.0004033680841,0.0486682
0.0004042571706,0.0420315
0.0004044655039,0.0403773
0.0004047161608,0.0383608
0.0004048563995,0.0372172
0.0004050893689,0.0352915
0.0004052203972,0.0341935
0.000405357981,0.033029
0.0004054414602,0.0323171
0.0004056084186,0.0308815
0.0004059423354,0.0279657
0.0004063467856,0.0243607
0.000406907485,0.0192477
0.0004077350619,0.0115116
0.0004086815465,0.00248191
0.0004092739092,-0.00323777
0.0004098375788,-0.00867697
0.0004101156037,-0.0113509
0.0004104109741,-0.0141799
0.0004108539724,-0.0183883
0.0004113142339,-0.0227025
0.0004118467247,-0.0275987
0.0004122771062,-0.031467
