"TIME","Vout","Vent"
0.007862141696,-0.0864839,-0.0671936
0.00786297503,-0.0862906,-0.0877569
0.007863808363,-0.0860972,-0.107797
0.007864641696,-0.0858932,-0.126425
0.00786547503,-0.0856892,-0.142809
0.007866308363,-0.0854852,-0.15622
0.007867141696,-0.0852701,-0.166056
0.00786797503,-0.085055,-0.171871
0.007868808363,-0.0848398,-0.173397
0.007869641696,-0.0846146,-0.17055
0.00787047503,-0.0843894,-0.16344
0.007871308363,-0.0841642,-0.152363
0.007872141696,-0.0839311,-0.137785
0.00787297503,-0.0836981,-0.120329
0.007873808363,-0.083465,-0.100742
0.007874641696,-0.0832261,-0.0798627
0.00787547503,-0.0829872,-0.0585889
0.007876308363,-0.0827483,-0.0378336
0.007877141696,-0.0825094,-0.0184879
0.00787797503,-0.082266,-0.00138075
0.007878808363,-0.0820226,0.0127566
0.007879641696,-0.0817792,0.0233227
0.00788047503,-0.0815358,0.0298724
0.007881308363,-0.0812924,0.0321361
0.007882141696,-0.0810436,0.0300317
0.00788297503,-0.0807948,0.0236679
0.007883808363,-0.0805461,0.0133399
0.007884641696,-0.0802973,-0.00048405
0.00788547503,-0.0800411,-0.0171826
0.007886308363,-0.079785,-0.0360089
0.007887141696,-0.0795288,-0.0561228
0.00788797503,-0.0792637,-0.076628
0.007888808363,-0.0789986,-0.0966109
0.007889641696,-0.0787335,-0.115181
0.00789047503,-0.078458,-0.131508
0.007891308363,-0.0781825,-0.144862
0.007892141696,-0.077907,-0.154641
0.00789297503,-0.0776211,-0.1604
0.007893808363,-0.0773353,-0.16187
0.007894641696,-0.0770494,-0.158968
0.00789547503,-0.0767548,-0.151803
0.007896308363,-0.0764601,-0.14067
0.007897141696,-0.0761655,-0.126038
0.00789797503,-0.0758638,-0.108527
0.007898808363,-0.0755621,-0.088886
0.007899641696,-0.0752604,-0.0679535
0.00790047503,-0.0749586,-0.0466263
0.007901308363,-0.0746523,-0.0258181
0.007902141696,-0.0743459,-0.00641969
0.00790297503,-0.0740396,0.0107398
0.007903808363,-0.0737332,0.0249291
0.007904641696,-0.0734268,0.0355469
0.00790547503,-0.0731171,0.042148
0.007906308363,-0.0728074,0.0444627
0.007907141696,-0.0724977,0.042409
0.00790797503,-0.0721879,0.0360956
0.007908808363,-0.0718735,0.0258175
0.007909641696,-0.0715591,0.0120432
0.00791047503,-0.0712446,-0.00460607
0.007911308363,-0.0709235,-0.0233834
0.007912141696,-0.0706024,-0.0434487
0.00791297503,-0.0702812,-0.0639056
0.007913808363,-0.0699513,-0.0838405
0.007914641696,-0.0696213,-0.102363
0.00791547503,-0.0692914,-0.118643
0.007916308363,-0.0689516,-0.13195
0.007917141696,-0.0686118,-0.141683
0.00791797503,-0.0682721,-0.147396
0.007918808363,-0.0679231,-0.148819
0.007919641696,-0.0675741,-0.145872
0.00792047503,-0.0672251,-0.138662
0.007921308363,-0.0668689,-0.127484
0.007922141696,-0.0665126,-0.112808
0.00792297503,-0.0661564,-0.0952534
0.007923808363,-0.0657946,-0.0755683
0.007924641696,-0.0654329,-0.0545925
0.00792547503,-0.0650712,-0.0332225
0.007926308363,-0.0647094,-0.0123717
0.007927141696,-0.0643477,0.0070689
0.00792797503,-0.0639832,0.0242702
0.007928808363,-0.0636187,0.0385009
0.007929641696,-0.0632542,0.0491598
0.00793047503,-0.0628897,0.0558015
0.007931308363,-0.0625252,0.0581566
0.007932141696,-0.0621577,0.0561428
0.00793297503,-0.0617901,0.0498689
0.007933808363,-0.0614225,0.03963
0.007934641696,-0.061055,0.0258945
0.00793547503,-0.0606819,0.00928367
0.007936308363,-0.0603088,-0.0094556
0.007937141696,-0.0599357,-0.0294833
0.00793797503,-0.0595553,-0.0499029
0.007938808363,-0.0591748,-0.0698009
0.007939641696,-0.0587944,-0.0882866
0.00794047503,-0.0584067,-0.104531
0.007941308363,-0.0580191,-0.117802
0.007942141696,-0.057624,-0.127499
0.00794297503,-0.0572289,-0.133177
0.007943808363,-0.0568338,-0.134567
0.007944641696,-0.056431,-0.131585
0.00794547503,-0.0560281,-0.124341
0.007946308363,-0.0556253,-0.11313
0.007947141696,-0.0552163,-0.0984205
0.00794797503,-0.0548074,-0.0808336
0.007948808363,-0.0543985,-0.0611163
0.007949641696,-0.0539896,-0.0401087
0.00795047503,-0.0535776,-0.0187072
0.007951308363,-0.0531656,0.00217453
0.007952141696,-0.0527536,0.0216457
0.00795297503,-0.0523415,0.0388773
0.007953808363,-0.0519295,0.0531378
0.007954641696,-0.0515175,0.0638261
0.00795547503,-0.0511055,0.0704968
0.007956308363,-0.0506935,0.0728805
0.007957141696,-0.0502797,0.0708949
